Label "Eigenvector Centrality"
Eagles 0.3971586875024616
Bears 0.38604249476845126
Broncos 0.0
Bills 0.0
Seahawks 0.48888828620072394
Buccaneers 0.26023606317287906
Colts 0.5381682334865355
Texans 0.0
Falcons 0.19376066754427193
Redskins 0.3738244934077329
Lions 0.0
Saints 0.2751981782143768
Steelers 0.35153464518744737
Panthers 0.19376066754427193
Cardinals 0.25564800573150964
Raiders 0.0
Titans 1.0
Packers 0.26023606317287906
Vikings 0.31652734620393586
Chiefs 0.38604249476845126
Bengals 0.0
Browns 0.0
Ravens 0.6416905004999607
Jets 0.48176120695554
Cowboys 0.6340605565806126
Patriots 0.6462785579413306
Chargers 0.7374092126870494
Giants 0.31652734620393586
Jaguars 0.48176120695554
Dolphins 0.46183176651346447
49ers 0.0
Rams 0.0
